"id","text","entropy","legalese","entities","flesch","overlap","classification1","classification2","classification3","classification4","classification5"
"F11520","However, in light of the practical solutions that are needed, afg believes that esma would be better placed and would have the right instruments to achieve this objective. Therefore, afg calls on the co-legislators to focus their work on the areas already identified by the european commission. Overall, afg believes that some of the proposed changes (in particular those set out in the proposal for a regulation) are to be welcome, while others (in particular those set out in the proposal for a directive) would be counterproductive and would lead to restricting cross-border distribution due to new regulatory constraints. Please see our comments in attachment. . The association franAaise de la gestion financiAre (afg) represents and promotes the interests of third-party portfolio management professionals. It brings together all asset management players from the discretionary and collective portfolio management segments. These companies manage at end 2017 a4,000 billion in assets, including a1,950 billion in french funds and a2,050 billion in discretionary portfolios and foreign funds. The afgas remit: i representing the business, financial and corporate interests of members, the entities that they manage (collective investment schemes) and their customers. As a talking partner of the public authorities of france and the european union, the afg makes an active contribution to new regulations, i informing and supporting its members; the afg provides members with support on legal, tax, accounting and technical matters, i leading debate and discussion within the industry on rules of conduct, the protection and economic role of investment, corporate governance, investor representation, performance measurement, changes in management techniques, research, training, etc. i promoting the french asset management industry to investors, issuers, politicians and the media in france and abroad.",6.91404845604607,0.215827338129496,1.2,19.1914195334124,FALSE,"Moderate","Rather low","Rather high","Rather high","Rather high"
"F7991","This would include in particular creating a union level scheme, with a single threshold, allowing the costs for complying with various national laws which are currently incurred by businesses operating in several member states, to be eradicated. Futhermore, we support initiatives aimed at simplifying vat systems applying in the different member states of the european union where such simplification allows the administrative burden on businesses to be reduced. This would indeed be the case with the proposal to create a ""one-stop-shop"". Cogeca would like to underline that it is important for national legislation to be adapted with the aim of simplifying and limiting as much as possible the administrative burden for managing vat which is generated for those businesses concerned, especially those of a smaller scale. Other difficulties can arise when it comes to determining at what point the right of deduction held by the buyer of the goods and/or services purchased upstream, commences. In certain member states, and particularly in the agricultural sector, the right of deduction starts when payment for the goods/services is made. However, implementing this rule can create significant cash flow problems for client businesses, especially smaller agricultural cooperatives. In such cases, we believe that a certain level of flexibility should be allowed for in order to enable client business to more quickly deduct the input vat due upstream.",6.65262082838544,0.176211453744493,0.375,26.3506745594714,FALSE,"Rather high","Rather low","Rather high","Very high","Rather high"
"F2163953","Ofe welcomes the commissionas proposal to strengthen protection of consumersa exposure to harmful and illegal content whilst bolstering europeas internet economy. The oss community relies on online platforms to build and ship software. European companies in all sectors, such as pharmaceuticals, telecoms, banking and manufacturing, rely heavily on oss development platforms and code repositories to innovate and compete globally. Oss development is at the heart of europe's digitisation efforts and objective to ensure genuine it choice and sovereignty across a wide range of key technologies and solutions such as federated cloud, hpc, edge computing and so forth. The economic impact of oss on the eu economy is estimated to be between eur 65 and eur 95 billion in 2018. Eu countries and eu located companies made significant investments into oss of euro 1 billion in 2018, the product of which is available for reuse by the private and public sector and would require 16,000 full time developers to provide the same volume of code. The ecosystem consists of european developers from the public sector, industry, universities and smes tackling challenges which no single company or organisation can solve on its own. Due to the integral nature of online platforms to the functioning of the oss ecosystem, ofe has provided input to earlier legislative dossiers potentially affecting these platforms, in particular the copyright directive of 2019.",6.76307733859119,0.226666666666667,1.625,20.744125,FALSE,"Rather low","Very low","Rather low","Very low","Very high"
"F10178","Member countries like spain or turkey are showing dictatorship-like rule of law, and eu is doing nothing to prevent it. We have political prisoners. We have imprisoned musics. We have imprisoned kids for a bar fight where no one got killed or heavily injured. The elected president of a region is unable to come back because the state is twisting the law. And the eu is doing nothing. Oh, and kids are dying in the mediterranean, and the only thing that the eu is doing is threaten the ngo that tries to rescue people in the middle of the sea. Being sincere, justice in eu and the eu itself is fucked up. Cheers.",5.49389315077903,0.0701754385964912,0.444444444444444,71.5309649122807,FALSE,"Rather high","Moderate","Moderate","Rather low","Moderate"
"F12199","Integrating esg factors into financial advice and creating a new framework for sustainable finance are necessary to channel investments into sustainable activities. We welcome the proposed amendments to the idd delegated regulation on ibips as a step towards developing the overall sustainability framework. Bipar believes however that there are other ways of encouraging sustainable products - such as tax incentives that could encourage investment into sustainable economic activities. More regulation canat always be the solution. As part of their obligations to act in accordance with the best interests of their clients, many insurance and financial intermediaries are already promoting sustainability principles in the services, advice and products they offer their clients, while ensuring that they are the right ones for them. In short, biparas key comments are the following: 1. The wording of the proposed text should be clearer to reflect that the intention is to introduce an obligation to ask the customers about their esg preferences and, if any raised, to take them into account in the advisory process. The words aif anya should be introduced in the articles amended. 2. The wording athe mosta suitable products should be deleted, as it inconsistent with the current idd delegated regulation and with the esma guidelines.",6.45757515967848,0.215686274509804,0.3,29.3701764705883,FALSE,"Very high","Rather high","Moderate","Very high","Very high"
"F25201","No other technology is available. White is the single most popular colour in the global automotive colour palette. In addition it is widely used in other colour areas to provide various pastel hues. It is also the white pigment of choice for primers and primer surfaces. Many primer surfaces are colour co-ordinated to the topcoat. Of course, once in a paint titanium dioxide powder is effectively encapsulated in the resin matrix so that the paints themselves should not suffer from any exposure to the particle. If the clp classification is agreed, then our mixtures could be given the same classification [which as seen from the point above might not reflect reality]. But if that classification is applied to our mixtures we might be faced with reactions from our customers a some of which wish to ban cmrs a which thus could range from potential prohibition of the mixtures to the implementation of expensive risk management measures. We could therefore face considerable on costs to our business and indeed to potential loss of market. The technical capability of titanium dioxide as a white pigment is so superior to other possible alternatives in terms of hiding power; whiteness; and exterior durability [uv resistance], all of which are so vital in formulating practical and cost effective white coatings for the automotive market, that i effect no technology is currently available to do the same job.",6.61155214533042,0.168831168831169,0,34.6975909090909,FALSE,NA,NA,NA,NA,NA
"F472108","Taking into account the timing of this consultation, sne can only provide below a non-exhaustive list of the sectoras comments. Sne will be pleased to provide further detailed comments at a later stage to the ec. 1) transition periodin recital 5 of the draft regulation, it is specified that: ato allow for sufficient time to adapt to that new requirement, operators should be given a three-year transition period. a Sne therefore asks that the new rules apply as from 1 january 2023 (instead of 1 january 2022). Sne would like to note that the 3-year transition period is needed as a transition to organic for the raw material part requires time. Due to the nature of organic production and its reliance on sometimes uncontrollable climatic and natural conditions, there may not be a consistent and adequate supply of organic ingredients so a safe and suitable non-organic alternative is required for these situations. 2) food additives specific conditions or restrictions in addition to regulation (ec) 1333/2008. Annex iv, section a a e170 calcium carbonate: sne proposes to amend the proposed specific conditions and restrictions as follows: ashall not be used for colouring of productsa. Rationale: calcium carbonate (e170) may be used as a source of calcium in foods.",6.39260138901806,0.171428571428571,1.5,32.1621428571429,FALSE,NA,NA,NA,NA,NA
"F25227","The members of the eae include 11 national etics associations, six major european supplying materialsa associations and nine supporting members. The eae represents enterprises from international operating companies to smeas. Their common aim is to improve the energy efficiency of the european building stock. Our members have major concerns and reject the proposed classification. A potential labelling will entail strong consumer uncertainty and reservation. This may have significant impact on achieving europeas targets on climate action and energy efficiency: tio2 is used in system components of external thermal insulation composite systems (etics). Our systems are required to contribute to achieving euas energy efficiency objectives. To our opinion alternative regulatory options are available which would better address the potential concerns, including eu harmonised health and safety measures. It's not about the substance titanium dioxide, but dust in the workplace. Most member states have already introduced national dust limits. A european harmonization of these national limits would be useful and has already been initiated by dg employment. According to our knowledge there is not enough scientific evidence that titanium dioxide poses risk to humans: the proposed classification is based on a single controversial study on rats in 1995 and is therefore very weak.",6.66112685200289,0.228855721393035,0.916666666666667,18.1083768656717,FALSE,NA,NA,NA,NA,NA
"F237848","A: security patches unfortunately, it is impossible to write bug-free software of any meaningful complexity. This means that every firmware out there will have security exploits in it. As long as these are patched by the manufacturer in a timely fashion, they will likely not have a big impact. However, once devices reach end-of-life and no more patches are released by their manufacturer, the unpatched firmware quickly becomes a big security risk. Currently, custom firmwares for e. g. smartphones (such as lineageos) or routers (such as openwrt) often provide support and security patches after end-of-life, securing many devices. If article 3(3)(i) is applied to these devices, custom firmware will become effectively impossible, since no manufacturer will be able and/or willing to assess the multitude of firmwares, especially since many firmwares update weekly or even daily. B: privacy proprietary firmwares effectively do not afford the consumer any control over what software is running on their devices. Only when it is possible to build and upload open-source firmware can one be sure of what their device is doing. C: impact on aspiring engineers tinkering with microcontrollers and development boards is, as i am sure many embedded software engineers will agree, very important for aspiring engineers and students to form a passion and deepen their knowledge.",6.58425522364935,0.130630630630631,0.444444444444444,30.8902252252252,FALSE,NA,NA,NA,NA,NA
"F472289","Eu investments in global health r&d via edctp or the health part of horizon2020 have successfully delivered new treatments, accelerated global health product development for several diseases and supported the strengthening of research capacities in africa, including the training of researchers and other staff. The eu needs to build on the success of edctp and increase its support to the partnership to further reduce the burden of disease and contribute to the realisation of the sustainable development goals, thereby strengthening the economies of countries in sub-saharan africa. Scopethe new partnership should keep a clear focus on poverty-related and neglected infectious diseases prevalent in africa and for which no or insufficient tools currently exist to prevent, diagnose or treat diseases. The diseases that fall under this scope should be clearly defined. Policy optionfirst choice is an institutionalised partnership that would offer the structure and level of commitment by participating states needed for achieving the expected scientific, social, economic and other impacts and for pooling necessary resources. Regardless of the specific modality, public-public (art 185) or public-private (art. 187) partnership, the governance needs to guarantee an equal partnership with sub-saharan african partner countries and ensure that r&i priorities are identified according to public health criteria and based on medical needs.",6.63777784530974,0.167441860465116,1.5,11.4948643410853,FALSE,NA,NA,NA,NA,NA
